ID_Sankce,ID_kontroly,Vyse_pokuty,Zákon,Paragraf,Datum_nabyti_Pravni_Moci
62372,311210190605102,5000,Zák. 634/1992,"§5/1a),§13",12/12/2012
62373,311210090605701,20000,Zák. 145/2010,§4,12/12/2012
62374,311211050605701,20000,Zák. 145/2010,§4,12/12/2012
62375,311210230604101,20000,Zák. 634/1992,"§19/1,3",12/7/2012
62376,311210190605101,3000,Zák. 634/1992,"§5/1a),c),§13",12/7/2012
62377,311209260600201,2000,Zák. 634/1992,§5/2,12/8/2012
62378,211212060150701,1000,Zák. 64/1986,§ 9 odst. 1 písm. a),12/6/2012
62379,311210020605701,20000,Zák. 634/1992,§12/1,12/8/2012
62381,101203069907702,80000,Zák. 64/1986,§ 19-1d,1/19/2013
62382,241211220405401,1000,Zák. 634/1992,§ 3/a,12/13/2012
62383,101204169907701,70000,Zák. 102/2001,§ 5-3; § 8-1a,4/12/2013
62384,301212110009601,1000,Zák. 634/1992,§ 3 písm. a,12/11/2012
62385,241212100405402,1000,Zák. 634/1992,§16/1,12/10/2012
62386,101206210152801,30000,Zák. 634/1992,2-May,2/15/2013
62387,271212130305001,2000,Zák. 22/1997,§ 13 odst.9),12/13/2012
62388,221212080203703,1000,Zák. 634/1992,"§ 9 ods.1,10 ods.1 a,",12/8/2012
62389,101212178205501,5000,Zák. 22/1997,porušení § 13 odst. 1 a 2,12/17/2012
62390,271212130305002,1000,Zák. 634/1992,§ 11 odst.1),12/13/2012
62391,221212110203702,500,Zák. 64/1986,"§ 9 ods.1 pís.a,",12/11/2012
62392,311212130602001,1000,Zák. 64/1986,§9/1/a,12/13/2012
62393,311212140604501,1000,Zák. 64/1986,§9/1/a,12/14/2012
62394,221212070203702,500,Zák. 64/1986,"§ 9 ods.1 pís.a,",12/7/2012
62395,271212170305001,1000,Zák. 634/1992,"§ 3 písm.a), §9 odst.1)",12/17/2012
62396,401212120557802,1000,Zák. 634/1992,"§ 5/1c), § 13",12/12/2012
62397,401212030552402,1000,Zák. 634/1992,§ 5/1a+c,12/3/2012
62398,241212130400901,1000,Zák. 634/1992,§ 7a),12/13/2012
62399,241212160400903,1000,Zák. 634/1992,§ 16 odst. 1,12/16/2012
62400,311210230601801,4000,Zák. 634/1992,§5/2,12/15/2012
62401,311210240605103,3000,Zák. 634/1992,§5/1a),12/14/2012
62402,311210010605101,3000,Zák. 634/1992,§13,12/15/2012
62403,311210040602601,1000,Zák. 634/1992,§12/1,12/14/2012
62404,311210110605701,1000,Zák. 634/1992,§3 písm.a),12/14/2012
62405,311206190605101,100000,Zák. 634/1992,"§5/1a),c), § 3písm.c), §12/1",12/13/2012
62406,311210230602002,2000,Zák. 634/1992,§ 10/1a),12/13/2012
