ID_zakazu,ID_kontroly,Sortiment,Mnozstvi,Jednotka,Cena_celkem,Dle_zakona
69916,301201050702101,Oděvy speciálně pro děti a kojence,3,kus,480,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69917,301201050702101,Oděvy speciálně pro děti a kojence,7,kus,1260,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69918,301201050702101,Oděvy speciálně pro děti a kojence,7,kus,1750,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69919,301201050702101,Oděvy speciálně pro děti a kojence,5,kus,550,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69920,301201050702101,Oděvy speciálně pro děti a kojence,8,kus,880,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69921,301201050702101,Oděvy speciálně pro děti a kojence,7,kus,1330,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69922,211201040153401,Ostatní bytový textil,20,kus,1580,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69923,211201040153401,Svíčky,20,kus,780,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69924,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",2,kus,420,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69925,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",2,kus,498,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69926,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",2,kus,378,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69927,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",2,kus,298,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69928,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",4,kus,196,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69929,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",2,kus,88,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69930,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",1,kus,179,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
